annotation_id;source_json;caption;Maschine_Label;manual_plot;manual_photo;manual_diagram;unclear;notes;manual_label
12;10.1101_2024.03.22.585864.json;311 Figure 3: Characterizing the dual-color reporter approach to sort cells undergoing distinct phases of Shox2 312 regulatory trajectory. A. FACS plot of Shox2 trac hindlimbs dissociated cells illustrating the distribution of cells 313 based on dmCherry and EYFP fluorescence in all the developmental stages investigated. B. Heatmap profiles of 314 representative marker genes in different sorted populations from E11.5 hindlimbs. dmCh. = dmCherry, maint. = 315 maintaining, interm. = intermediate and inac. = inactive. C. Proportions of each sorted population at E10.5, E11.5, 316 E12.5, E13.5, and E14.5 in both forelimbs and hindlimbs, showcasing the dynamic changes in population sizes 317 over developmental time. D-F. Heatmaps of gene expression analysis of marker genes in sorted cells throughout 318 fore- and hindlimb development. D. Marker gene expression in inactive cells. E. Marker gene expression in 319 maintaining cells. F. Marker gene expression in decommissioned cells. Inactive (EYFP-, dmCherry-, in grey), 320 maintaining (EYFP+, dmCherry+, in red), decommissioned (EYFP+, dmCherry-, in yellow), blood (EYFP-, 321 dmCherry+, in black), low-EYFP (low EYFP+, low dmCherry+, in blue), intermediate (high EYFP+, intermediate 322 dmCherry+, in light grey or white). In C , D-F : Z-score scale derived from normalized FPKMs provides a normalized 323 measure by rows of gene expression levels enabling comparison across samples. 324;;1;1;;;;Plot+Photo
14;10.1101_2025.01.17.633518.json;Fig. 1. VP3 encodes a C-terminal domain with a predicted lack of secondary structure. A;;1;;1;;;Plot+Diagram
19;10.1101_2025.04.23.650164.json;Fig. S19 Molecular structures and models of the K5 polysaccharides. 2D representation of the (A) heparin, (C) K5OSH, and (E) K5NOSH disaccharide repeat units used to model the K5NOH and K5NOSH polymers. 3D representations of the (B) heparin, (D) K5NOH, and (F) K5NOSH tetrasaccharides used to build the 31mer chains (with 31 monomers) bound to spike by employing the incremental sliding window docking method 1 . In the incremental sliding window docking method, docking begins with a 4-mer probe. The docking grid then shifts along the identified basic groove path, overlapping with the last monosaccharide of the docked 4-mer. This ensures that the last monosaccharide of one probe overlaps with the first monosaccharide of the next, preserving the glycosidic linkage properties between monosaccharides. With 10 iterations, this process results in a chain of 31 monosaccharides, with an extra monosaccharide at the end of the chain. Heparin, K5OSH, and K5NOSH are shown in stick representation colored by element with green, pink, and purple carbons, respectively.;;;;1;;;Diagram
20;10.1101_2025.07.07.663569.json;"Figure 4. Observed and model-predicted ROC curves and posterior parameter estimates from the hierarchical Bayesian DPSD model. (A) ROC curves for each stimulus condition: repeated colors (CLR REP ; red), repeated meaningful objects (OBJ REP ; green), and trial-unique meaningful objects (OBJ UNI ; blue). Circles represent observed mean hit rates (HR) and false-alarm rates (FAR) across confidence levels, and the horizontal and vertical error bars indicate standard errors of the mean FAR and HR, respectively. Solid lines depict model-predicted ROC curves based on posterior mean values of the model parameters. (B) Posterior means and 95% highest density intervals (HDIs 95% ) for the population-level recollection (left) and familiarity (right) parameters, across stimulus types. The boundaries of HDI 95% not crossing over between conditions indicate a statistically credible difference.";;1;;;;;Plot
23;10.1101_2025.03.18.643707.json;Figure 5. Prevotella -driven susceptibility to arthritis is associated with IL-6 expression in mice and RA patients;;1;;;;;Plot
24;10.1101_2023.09.05.556329.json;Figure 7 : Model for the regulation of CTT1 by Scd6: In the absence of any stress, the CTT1 mRNA serves as a target for the protein Scd6, forming a stable complex. However, when exposed to hydrogen peroxide (H 2 O2 ), there is a disruption of the CTT1 -Scd6 interaction which could be due to a reduction in the methylation of Scd6, causing their dissociation. Under these oxidative stress conditions, Scd6 locates to a distinct puncta which is neither stress granule or p body within the cell. Meanwhile, the CTT1 mRNA becomes actively engaged in translation in response to the H 2 O2 treatment. This interaction enables Scd6 to regulate the abundance of CTT1 mRNA in untreated conditions, where it is not required in large quantities. In summary, H 2 O2 treatment induces the dissociation of CTT1 and Scd6, leading to CTT1's translation and Scd6's localization to stress granules and P bodies.;;;;1;;;Diagram
25;10.1101_2025.09.04.674184.json;"Figure 3. (A) Comparison of the relative abundance of the main lipid families studied in this work between LC, Me5 and SNc neurons; (B) principal components analysis (PCA) of the lipid fingerprints of the three types of neurons. * = p<0.05, ** = p<0.01, *** = p<0.001.";;1;;;;;Plot
26;10.1101_2025.07.04.663163.json;"Fig. 1. Pm4 gain-of-virulence mutants all exhibit mutations in Bgt-55142 , encoding a non-canonical effector. ( A ) Schematic representation of Bgt-55142 protein structure, indicating predicted domains (described in detail in Supp. Fig. S2C ) and a nuclear localisation signal (NLS) predicted by NLStradamus. The phenotype and genotype of the Bgt gain-of-virulence mutants on Pm4a and Pm4b are shown above. ( B ) Cartoon and surface representation of the Alphafold3 structural prediction of Bgt-55142, with domains shown in different colours and labelled accordingly. Glutamate at position 360, mutated in mutant 4AB-6 to a lysine, is represented by spheres and indicated in brown. The predicted aligned error (PAE) is depicted in Supp. Fig. S2A . ( C ) Sequence alignment of the MEA domain of Bgt-55142 (amino acids 175 to 329) and AVR-Rmg8 reveals a region of high identity. In particular, the RGPGGPPP motif is 100% conserved, and overlaps with the NLS (in yellow; Supp. Fig. S2B ).";;;;1;;;Diagram
27;10.1101_2024.03.13.584141.json;"Fig.S3 Details of the fMRI results in children (complement to Fig.2 and Fig.3 in the main text) A: Statistical map associated with the contrast 'single geometric shape > faces, houses and tools', projected on an inflated brain (top: adults; bottom: children; for illustration purpose we display the uncorrected statistical map at the p<.01 level). Notice how similar the activations are in both age groups. B: Same as A, but for the contrast 'single geometric shape > all single-object visual categories (face, house, tools, Chinese characters)'. The activation maps are very similar to the previous contrast, and very similar across age groups. C : Whole brain correlation of the BOLD signal with geometric regularity in children, as measured by the error rate in a previous online intruder detection task ( 7 ). Positive correlations are shown in red and negative ones in blue. Voxel threshold p<.001, no correction for multiple comparisons, but the p-value indicates the only cluster that was significant at the cluster-level corrected p<.05 threshold. D , Results of RSA analysis in children. No cluster was significant at the p<.05 level for the geometric feature models; one right-lateralized occipital cluster reached significance for the CNN encoding model (cluster-level corrected p=.019), and its symmetrical counterpart was close to the significance threshold (cluster-level corrected p=.062)";;;1;;;;Photo
28;10.1101_2023.04.18.537072.json;FIG. 10. Kinetic trajectory in the multicomponent phase diagram Illustration of the assembly kinetics at phase equilibrium, for systems corresponding to M = 3 and initially composed of monomers only.;;;;1;;;Diagram
29;10.1101_2025.01.22.633938.json;Figure 6. Optimization of lipid nanoparticle (LNP) composition for delivery of functional CFTR-encoding constructs. ( A ) Schematic overview of LNP optimization approach for maximal integration of donor CFTR-encoding linear double-stranded DNA (ldsDNA) constructs. ( B -D ) Droplet digital PCR (ddPCR) data reporting integration efficiencies of CFTR ldsDNA constructs co-encapsulated into LNPs with mRNA encoding Cas9 and single guide RNA (sgRNA) targeting CFTR at (left) ldsDNA:mRNA w/w ratios of 2:1, 3:1, and 4:1 and (center, right) nitrogen:phosphate (N/P) ratios of 5, 7, 9, 11, or 13. ( E-G ) Metabolic tetrazolium salt (MTS) assay data reporting cell survival relative to untreated cells 24 h after treatment with LNPs loaded with CFTR ldsDNA constructs, mRNA encoding Cas9, and sgRNA targeting CFTR at (left) ldsDNA:mRNA w/w ratios of 2:1, 3:1, and 4:1 and (center, right) nitrogen:phosphate (N/P) ratios of 5, 7, 9, 11, or 13. ( H ) Integration efficiencies of CFTR ldsDNA constructs co-encapsulated into LNPs with mRNA encoding Cas9 and sgRNA targeting CFTR at a ldsDNA:mRNA w/w of 3:1 and N/P of 11 at a total dose of 50, 75, or 100 ng mRNA per 20,000 cells. ( I ) MTS assay data reporting cell survival relative to untreated cells 24 h after treatment with LNPs loaded with CFTR ldsDNA constructs, mRNA encoding Cas9, and sgRNA targeting CFTR dosed at 50, 75, or 100 ng mRNA per 20,000 cells. Cells were treated with or without drugs AZD7648 and ART558. One-way analyses of variance (ANOVA) were performed, with the threshold of statistical significance set at p < 0.05. Letters A-E represent a compact letter display of statistics wherein differences between groups labeled with the same letter are not statistically significant.;;1;;1;;;Plot+Diagram
30;10.1101_2024.09.27.615364.json;Fig 7. Optimization and performance of the binary pitch classifier neuron CCN. A. Mean MCC of 15 LOOCV iterations for the CCN while varying ω ccn and R ccn . B. A single LOOCV iteration that scores closest to the mean LOOCV values plotted in panel A, i.e., for optimal values ω ccn = 0 . 15 mV and R ccn = 1 . 8. The CCN mainly spiked when body pitch exceeded 10 ◦ .;;1;;;;;Plot
32;10.1101_2025.01.17.633518.json;Fig. 2. The VP3 C-terminal domain is predicted to be a highly dynamic intrinsically disordered region (IDR) . The mean relative B-factor, calculated from MD simulations of the VP3 monomer (6 independent 20 nanosecond simulations), was plotted on the y axis against VP3 amino acid residue number on the x axis. Error bars represent standard error of the mean (SEM) (A). The Pearson's product moment correlation coefficient between the trajectories of each pair of atoms was calculated and plotted as a heatmap. Yellow represents perfect positive correlation, purple represents perfect negative correlation, blue/teal suggests a lack of correlation (B). The movement of the atoms (average positional correlation coefficient) within the 36 amino acids of the C terminus were compared to equally-sized windows of 36 amino acids in length spanning the whole length of the VP3 protein sequence, and the p-values were plotted on the y;;1;;;;;Plot
33;10.1101_2025.04.23.650164.json;Fig. S13 Exposure of the S1/S2 multifunctional site during the MD simulations. (A-C-E) Solvent Accessible Surface Area (SASA) (Å 2 ) of the S1/S2 site versus time (µs) and (B-D-F) the probability density versus SASA of the S1/S2 site (Å 2 ) for the simulated systems of (A-B) closed spike with heparin bound (from Paiardi et al. 2 ) and for the four replica MD trajectories of the two systems of closed spike glycoprotein with (C-D) K5OSH and (E-F) K5NOSH bound simulated in the current study. (A-C-E) The SASA is computed along the simulations while (B-D-F) the probability density is computed on the converged MD trajectories (from 0.2 to 1 μs) and is shown for each subunit - S A , S B , S C - in blue, pink, and brown for systems with heparin bound, in blue, teal, and cyan for systems with K5 compounds bound. (B-D-F) The dashed lines showing the mean values for the single distribution are colored according to the SASA of the respective subunit.;;1;;;;;Plot
36;10.1101_2025.08.04.668590.json;"Figure 5. Sheet aggregates are found in CPQ + migrasomes. (A-D) 700× cryo-EM micrographs of PFA fixed vitrified 1 DIV rat cortical neurons overlaid with CPQ (red) and Hoechst (blue) fluorescent stains. (E) , (F) , and (H) 5,300× cryo-EM micrographs depicting aggregates inside CPQ + migrasomes (top) and their corresponding 45,000× images (bottom). (G) 5,300× cryo-EM micrograph depicting mitochondria inside CPQ + migrasomes (top) and its corresponding 45,000× images (bottom). (I) and (J) 5,300× cryoEM micrographs depicting extracellular aggregates not associated with CPQ + migrasomes (top) and their corresponding 45,000× images (bottom). Dashed boxes and lines depict areas of interest that are gradually increased in magnification. Scale bars for 700× micrograph = 20 µm; 5,300× = 1 µm; and 45,000× = 200 nm.";;;1;;;;Photo
37;10.1101_2025.01.27.635038.json;Fig. 5: Top 10 enriched KEGG pathways and GO terms among the top 500 genes ranked by MUSICiAn across targets for the genome-wide MUSIC dataset. Top left to bottom right - KEGG pathways, GO biological processes, GO molecular functions, and GO cellular components. The horizontal axis shows the ratio between the numbers of genes annotated with the pathway or GO term among the top 500 ranked genes vs. all genes. Circle color denotes the negative log10 of the FDR-corrected p -value, and circle size indicates the number of genes annotated with a pathway or GO term among the top 500 ranked genes.;;1;;;;;Plot
38;10.1101_2025.04.01.646591.json;Figure S9. Estimating fluorescent signal of a single labelled polymerase.;;1;;;;;Plot
39;10.1101_2024.04.30.591897.json;Figure S3. Deletion of the ATG5 interacting region of TECPR1 prevents ATG5 recruitment to lysosomes in response to damage. Representative live-cell fluorescent images of HeLa WT cells co-transfected with EGFP-TECPR1 and mCherry-ATG5 and treated with 1 mM LLOMe for 15 minutes. Scale bar = 20 µM.;;;1;;;;Photo
40;10.1101_2024.11.19.624303.json;Figure 4. Distractor-locked pupil dilation (group-average, subtraction of the surrogate DIS-locked PDR & 250ms pre-distractor baseline subtraction ) . A: Mean pupil dilation in AAV, PAV conditions and the subtraction between the two. B: Mean pupil dilation in informative & uninformative conditions and the subtraction b etween the two for the AAV-PAV subtraction curves. Shadowed areas surrounding the curves represent standard errors of the mean. The blue area (A) corresponds to the time windows where the task effect is significant. For these time windows, boxplots with individual data are depicted (mean pupil dilation amplitude in 500ms time-windows). Within each boxplot, the horizontal line represents the group median, the box the first and third quartiles, the whiskers the largest value under 1.5*IQR. (IQR = inter-quartile range). Superimposed to each boxplot, the dots represent individual means. * p < 0.05, ** p < 0.01. AAV: Active AudioVisual condition, PAV: Passive Audio-Visual condition, inf: informative, uninf: uninformative.;;1;;;;;Plot
41;10.1101_2025.03.03.641144.json;Figure 7. Expression of YTHDF proteins regulates the size of distinct progenitor populations. (A) Detection of dd_1837 and SMEDWI-1 by FISH and IF, respectively, is shown following co-suppression of ythdfs and in control animals. Cell counts of dd_1837 + /SMEDWI-1 + cells in the head area were normalized to animal size and compared to control RNAi. A significant increase in dd_1837 + /SMEDWI-1 + cells was observed in the triple RNAi animals (Student's t-test, p-value < 1x10 -4 ). Scale bar = 10 μm. (B) Quantification of the SMEDWI-1 + population size by IF is shown following co-suppression of ythdf s and in controls. Cell count of SMEDWI-1 + cells in the region between the brain and pharynx were normalized to animal size, revealing no significant difference in cell number (Student's t-test, n.s. > 0.05). Scale bar = 100 μm. (C) Detection of the parenchymal cell marker dd_940 and SMEDWI-1 by FISH and IF, respectively, is shown following co-suppression of ythdf s and in control animals. Cell counts of dd_940 + /SMEDWI-1 + in the region between the brain and pharynx were normalized to animal size and compared to control. A significant decrease in dd_940 + /SMEDWI-1 + cells was observed in the RNAi animals (Student's t-test, p-value = 0.0052). Scale bar = 10 μm.;;1;1;;;;Plot+Photo
42;10.1101_2024.07.02.601807.json;Figure 4: An overview of the different functionalities provided in panmanUtils . Starting from the input PanMAN (top), the panels show the following biologically relevant operations and their associated subcommands that can be performed using panmanUtils : (i) providing node and network-level statistics, (ii) extracting raw sequences at the tips or internal nodes in FASTA format, (iii) extracting the multiple-sequence alignment (MSA) of tip or internal sequences in FASTA format, (iv) extracting a PanMAN corresponding to a subnetwork in the input PanMAN based on the provided list of node identifiers in the tab-separated values (TSV) format, (v) extracting variation in VCF format present in all the sequences of a single PanMAT in a PanMAN with respect to a user-defined reference sequence (S2, in this case), (vi) converting any PanMAT in a PanMAN to a Graphical fragment assembly (GFA) file representing the pangenome (vii) extracting multiple whole genome alignment (m-WGA) for each PanMAT in a PanMAN in the form of multiple alignment format (MAF), (viii) annotating any node in the PanMAN with a custom string (e.g., lineage name) provided in a TSV format file, (ix) translating DNA mutation annotations to amino acid mutations with the reference being the root sequence, and (x) extracting multiple Newick files, one corresponding to each PanMAT topology, and an additional file describing the complex mutations resulting in network connections (if exist) between the different PanMATs.;;;;1;;;Diagram
44;10.1101_2025.05.15.654300.json;Fig. S14. Yeast surface display binding for PAN nita.1 measured for indicated ligands . **** indicates p<0.0001 and ns indicates not significant. n=4, error bars indicate 1 s.d.;;1;;1;;;Plot+Diagram
45;10.1101_2025.09.25.678455.json;Figure 1: Scheme of TTR minimal model, showing the transitions for tetramers, T, and monomers, M, together with corresponding rates (described in the main text). Possible in-direct effects of action of tetramer stabilisers are denoted as ([Drug]?).;;;;1;;;Diagram
46;10.1101_2025.08.01.667674.json;Figure 2. Benzalkonium chloride (BAC) sensitive E. coli MG1655 (wildtype, WT) shows increased evolvability against antibiotics as compared to its BAC-tolerant S4 strain. A) Scheme showcasing the design of the adaptive laboratory;;1;;1;;;Plot+Diagram
47;10.1101_2025.03.18.643876.json;Figure 7 . ( A ) Boxplots of relative abundance of the most abundant microbes in endometrial brush samples revealed by 16S rRNA gene sequencing and metatranscriptome. ( B ) Scatter plots of Spearman's correlation between the taxonomic profiles of 16S rRNA gene sequencing (X axis) and meta-transcriptomics (Y axis). Significance was considered for adjusted p -value < 0.05 (***).;;1;;;;;Plot
48;10.1101_2025.01.05.631374.json;Figure 6. CyMA modulate tumor microenvironment. (a) Schematic illustration showing the inhibition of cancer associated fibroblasts (CAFs), senescent tumor cells (STCs), and selective inhibition of M2 tumor associated macrophages (TAMs) but not M1 TAM, as well as the suppression of cytokine secretion (TGFβ 1 and VEGF). (b) Cell viability of CAFs treated with 3a for 24, 48, 72 hours (n = 3). (c) Cell viability of the co-cultured CAFs with LNCaP cells treated with 3a for 72 hours (n = 3). (d) Cell viability of M1 and M2 TAMs treated with 3a for 24 hours (n = 3). (e) Immunoblotting of CES1, CES2 and β -Actin in THP-1 cells and THP-1 derived M1 and M2 TAMs. (f) CLSM images of M1 or M2 TAMs treated with 1a (500 nM, 100 nM, 16 minutes). (g) Quantitative analysis of fluorescence intensity within or outside the Golgi in cells in (f) treated with 1a (500 nM) (n = 8). (h) Cell viability of STCs treated with 3a for 24,;;1;1;1;;;Plot+Diagram+Photo
50;10.1101_2025.03.18.643707.json;Figure 7. Prevotellaceae -derived OMVs induce IL-6 secretion by DCs and transfer CIA susceptibility to resistant mice;;1;;;;;Plot
51;10.1101_2025.08.23.671809.json;"Figure S6: Ps WCS417r growth in root exudates, and in unplanted control. (A) Ps WCS417r growth in wildtype and umamit30 root exudates, as well as in unplanted control. (B) Ps WCS417r growth in wildtype, Iht1, and umamit14 root exudates, as well as in unplanted control. For (A), data are average ‡ SE (n=6 biological replicates). For (B), data are average + SE (n=6 biological replicates x 2 = 12 replicates). Statistical analyses were performed using 'Compare Groups of Growth Curves' method as previously described [38], with the following results: (A) no significant difference between bacterial growth in wildtype and umamit30-1 exudates. (B) wildtype vs umamit14: p=0.8719; wildtype vs Iht1: p=0.0400. Experiment in (A) was performed three times with similar results.";;1;;;;;Plot
52;10.1101_2024.09.03.611057.json;Figure 4: Multivalent chromatin binders reduce diffusion of nucleosome nanodomains. (a) Heteropolymer model of chromatin consisting of A-type, B-type, and C-type particles. (b) Interaction potentials 𝑈 $( (𝑟 %& ) of multivalent chromatin binders with B-type chromatin beads. (c,d) Example free heteropolymer and heteropolymer with a number density of C-type particles of 𝜌 = 500/𝜇𝑚 ) in a 10um periodic box. (e) Scaled diffusion coefficient 𝐷 for various chromatin binding energies of C-type particles, averaged over ten independent simulations, with burn-in discarded.;;1;;1;;;Plot+Diagram
53;10.1101_2023.04.04.535507.json;Figure 6. OsTLP inhibits callose deposition to facilitate RSV infection.;;1;1;;;;Plot+Photo
56;10.1101_2024.07.26.605262.json;Figure 4. Role of grouped spindles in motor skill consolidation and generalization. (A) Relationship between the proportion of grouped spindles over isolated spindles (a.u.), extracted at scalp derivation C4, and the magnitude of post-night performance changes (in %) on the learned motor sequence in the IMMO (n = 15) and CTRL (n = 14) groups. (B) Relationship between the proportion of grouped spindles over isolated spindles (a.u.), extracted at scalp derivation C4, and the magnitude of inter-manual skill transfer (in %) in the IMMO (n = 15) and CTRL (n = 14) groups. (C) Relationship between the proportion of grouped spindles over isolated spindles (a.u.), extracted at scalp derivation C4, and the magnitude of skill transfer toward a new sequence (in %) in the IMMO (n = 13) and CTRL (n = 14) groups. Individual data (colored circles) and trend lines are provided, along with Pearson's r and associated p-values.;;1;;;;;Plot
57;10.1101_2025.01.02.631135.json;Supplementary Figure 2. Additional NSCLC results for cleaning fibroblast cells.;;1;;;;;Plot
58;10.1101_2025.09.25.678391.json;Figure 1. The BiOM T2 battery-powered ankle-foot prosthesis attached in series with the Low Profile (LP) Vari-flex prosthetic foot.;;;1;;;;Photo
61;10.1101_2025.01.27.635038.json;Fig. 4: Performance of MUSICiAn, recovery of known DNA repair genes. Precision-recall curves using MUSICiAn ranking (orange) or random ranking (blue) against the following gold standards for evaluation: (left) curated genes in Repair-seq and (right) genes annotated with DSB repair-related in Gene Ontology.;;1;;;;;Plot
62;10.1101_2025.04.02.646756.json;Figure 2 Investigation of the activity of recombinant Gs PEBA and Gs PEBB and identification of reaction 326 products. 327;;1;;;;;Plot
63;10.1101_2024.12.11.627930.json;Figure S8. Genomic results for Cross 3. Top three plots: Mean traits (FRE, MRE, rMA) across the genome. Thick red, blue and black lines indicate mean trait values for homozygotes inherited from either Control (blue) or X-only populations (red) or heterozygotes. The horizontal, dashed line indicates mean trait values for all individuals. Vertical dashed lines indicate the location of QTL, shaded areas indicate the Bayesian credible intervals for QTL. Plot 4: p -value of χ²-test for segregation distortion. The red line indicates the significance threshold ( p < 0.05 ) after Bonferroni correction. Bottom plot: recombination maps inferred from RADseq data. Shaded red and blue bars in the background indicate genomic windows enriched for the two most common centromeric repeats.;;1;;;;;Plot
64;10.1101_2023.12.01.569683.json;Fig. 4 N-terminal acetylation also regulates the activity of PA-X proteins from circulating influenza A virus subtypes. HEK293T cells were transfected for 24 hours with empty vector, WT PR8 PA-X-eGFP, WT H1N1 pdm09 PA-X-eGFP, or WT Perth PA-X-eGFP or the indicated PR8 PA-X-eGFP mutants carrying changes in the second amino acid. mRNA levels of a co-transfected luciferase reporter were measured by RT-qPCR and normalized to 18S rRNA. Levels are plotted as change relative to vector transfected cells. Error bars indicate the standard error of the mean. (n>3) *p < 0.05 **p < 0.01 ***p < 0.001 ****p < 0.0001 ANOVA with Dunnett's multiple comparison test compared to wild-type PA-X;;1;;;;;Plot
65;10.1101_2024.10.31.621279.json;"Figure 2. Data set #2: Letter-color 2AFC task and results. (A) Left , an independent learning phase was administered in the form of an odd-ball detection task during which six letters together with six shades of green colors as background (squares) were presented in three frequency conditions (33%, 50%, and 84%) on most trials (91%). Participants had to quickly respond to odd-ball targets (numbers and/or non-green color, 9% of trials). Lettercolor mapping conditions were randomized per participant. Right , events during a single trial of the subsequent letter-color decision 2AFC task. While pupil dilation was recorded, participants indicated whether the letter 'matched' the colored square with a button press. A match was correct when the letter and color had occurred most often together in the preceding odd-ball task. Gray box indicates the feedback event of interest. (B) Accuracy (fraction of correct responses) as a function of letter-color frequency. Dashed line represents chance level. Data points are individual participants; stats, paired-samples t-test. (C) RT as a function of both letter-color frequency and accuracy; stats, repeated-measures ANOVA. (D) Feedback-locked pupil response time course, plotted as a function of letter-color frequency and accuracy. Shading represents the standard error of the mean. Gray boxes, time windows of interest; early time window, [0.75, 1.25]; late time window, [2.5, 3.0]. The purple horizontal bar indicates a significant two-way interaction effect (uncorrected for multiple comparisons). No significant time points remained after correction using the false discovery rate (FDR). (E) Early time window, average feedback-locked pupil response as a function of letter-color frequency and accuracy. (F) As E , for the late time window. ANOVA results (multiple panels): top, main effect of frequency; middle, main effect of accuracy; bottom, frequency x accuracy interaction. Error bars, standard error of the mean. * p < 0.05, ** p < 0.01, *** p < 0.001.";;1;;1;;;Plot+Diagram
